Comment,Designator,Footprint,LCSC,Quantity
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C112972,1
2u2,"C20,C6",C_0402_1005Metric,C12530,2
USB_OTG,J9,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,C132563,1
10n,"C14,C4",C_0402_1005Metric,C15195,2
0u1,"C12,C13,C15,C16,C17,C19,C5,C8",C_0402_1005Metric,C1525,8
4u7,"C11,C18",C_0402_1005Metric,C23733,2
470,R13,R_0402_1005Metric,C25117,1
10k,"R1,R10,R2,R4,R6,R8",R_0402_1005Metric,C25744,6
1k5,"R3,R5,R7",R_0402_1005Metric,C25867,3
4k7,"R11,R9",R_0402_1005Metric,C25900,2
~,U3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C3288646,1
10p,"C10,C9",C_0402_1005Metric,C32949,2
STM32F401RCT6,U2,LQFP-64_10x10mm_P0.5mm,C74524,1
TestPoint,TP2,TestPoint_Pad_4.0x4.0mm,,1
LM2574M-3.3,U1,SOIC-14W_7.5x9mm_P1.27mm,,1
TestPoint,TP1,TestPoint_Pad_4.0x4.0mm,,1
SW_SPDT,SW3,CUS-12TB_NDC,,1
SW_Push,SW2,SW_PUSH_6mm,,1
SW_Push,SW1,SW_PUSH_6mm,,1
IRF9540N,Q3,TO-220-3_Vertical,,1
2N222A_NPN,Q2,TO-92,,1
2N2907_PNP,Q1,TO-92,,1
330uH,L1,L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1,,1
Conn_01x04_Socket,J8,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04_Pin,J2,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04_Pin,J7,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04_Pin,J1,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x02_Pin,J6,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x04_Pin,J5,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04_Pin,J4,PinHeader_1x04_P2.54mm_Vertical,,1
GREEN,D6,LED_D5.0mm_Clear,,1
11DQ05,D5,D_DO-41_SOD81_P7.62mm_Horizontal,,1
RED,D4,LED_D5.0mm_Clear,,1
11DQ05,D3,D_DO-41_SOD81_P7.62mm_Horizontal,,1
11DQ05,D2,D_DO-41_SOD81_P7.62mm_Horizontal,,1
11DQ05,D1,D_DO-41_SOD81_P7.62mm_Horizontal,,1
22uF,C3,C_Radial_D5.0mm_H5.0mm_P2.00mm,,1
22uF,C7,C_Radial_D5.0mm_H5.0mm_P2.00mm,,1
220uF,C2,C_Radial_D6.3mm_H11.0mm_P2.50mm,,1
